,network_source,tweet,date,compound_score,pos_score,neu_score,neg_score
440,CNN,A 20-year-old Syrian man has been badly beaten in an attack in Germany as the country braced for more anti-migrant… https://t.co/mbrmLrFgoS,Thu Aug 30 08:48:34 +0000 2018,-0.8402,0.0,0.654,0.346
441,CNN,Jehovah's Witnesses are a tiny minority in South Korea. But they make up the majority of the thousands who have bee… https://t.co/eHstmSK4BK,Thu Aug 30 08:37:42 +0000 2018,0.0,0.0,1.0,0.0
442,CNN,"How Puerto Rico's death toll climbed from 64 to 2,975 in Hurricane Maria https://t.co/M9z3cJHeO5 https://t.co/BBzAS2aD5I",Thu Aug 30 08:01:06 +0000 2018,-0.5994,0.0,0.782,0.218
443,CNN,"Uber driver stood his ground and killed man who threatened to shoot him, sheriff says https://t.co/zgdheFMiDx",Thu Aug 30 07:56:05 +0000 2018,-0.872,0.0,0.568,0.432
444,CNN,"Sessions and McGahn each stood up to Trump. Now, McGahn heads for the exits https://t.co/HD2YemTo7p https://t.co/kpDSrqeqFr",Thu Aug 30 07:36:00 +0000 2018,0.0,0.0,1.0,0.0
445,CNN,"With a small generator, basic soldering equipment, small pliers, and a toothbrush, Anowar takes apart cell phones o… https://t.co/QsnfLA3kdP",Thu Aug 30 07:31:04 +0000 2018,0.0,0.0,1.0,0.0
446,CNN,"Nearly a quarter of 14-year-old girls in the UK have self-harmed, with many facing overwhelming pressures over look… https://t.co/VzJe96ARhF",Thu Aug 30 07:30:20 +0000 2018,-0.3182,0.0,0.881,0.119
447,CNN,Cities are starting to give scooter companies such as Bird and Lime a second chance https://t.co/X2PZDaQNdk https://t.co/5xD0WaXT4S,Thu Aug 30 07:01:05 +0000 2018,0.25,0.118,0.882,0.0
448,CNN,How John McCain's faith sustained him and allowed him to forgive himself https://t.co/XBEsVFv8zV https://t.co/mrPv1yh1Eq,Thu Aug 30 06:51:05 +0000 2018,0.5994,0.29,0.71,0.0
449,CNN,Vodafone bets on $8 billion merger to boost Australia business https://t.co/ncbgK8hvMZ https://t.co/P2cx1GakTu,Thu Aug 30 06:42:08 +0000 2018,0.4019,0.197,0.803,0.0
450,CNN,Researchers from four American universities are seeking people who will eat avocados every single day for six month… https://t.co/wEGs4dehO1,Thu Aug 30 06:31:08 +0000 2018,0.0,0.0,1.0,0.0
451,CNN,This man could be Florida's first black governor https://t.co/lNjaxnsRmM https://t.co/JTSc8D6nLL,Thu Aug 30 06:16:00 +0000 2018,0.0,0.0,1.0,0.0
452,CNN,More than 300 endangered sea turtles were found dead near the southern coast of Mexico https://t.co/WwnkS5BBwf https://t.co/wSt2FlVEEj,Thu Aug 30 06:01:00 +0000 2018,-0.6486,0.0,0.788,0.212
